X,Y,Cluster,Region,City,Partner,Lon,Lat,Population,Strata,Salary,Ranking,SB Trade Z,Target Pen,Target P_1,Actual Pen,Ttl,IL+FS,DT,FC,St,Op,Lt,SB,Ttl g,St g,Op g,SB g,KFC Av Sal,EBITDA H12,ViT,BK,icon_url
28.87268,61.111193,NW,Ленинградская область,Светогорск,AmRest,28.872679999999999,61.111193000000000,15 398,меньше 30,51 342,good,Low Density Residential,80 000,15 398,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
47.47298,55.86501,Volga,Чувашская Республика - Чувашия,Цивильск,AmRest,47.472980000000000,55.865009999999998,15 014,меньше 30,24 562,ok,Roadside,100 000,15 014,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
31.03337,59.944319,NW,Ленинградская область,Шлиссельбург,AmRest,31.033370000000001,59.944319000000000,14 845,меньше 30,49 362,good,Low Density Residential,80 000,14 845,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
40.248495,58.875802,NW,Вологодская область,Грязовец,AmRest,40.248494999999998,58.875802000000000,14 809,меньше 30,35 747,ok,Roadside,100 000,14 809,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
29.6031,60.256507,NW,Ленинградская область,пгт. Рощино,AmRest,29.603100000000001,60.256506999999999,14 564,меньше 30,"0",Нет рейтинга,High Density Residential,,14 564,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
32.497615,67.372999,NW,Мурманская область,Полярные Зори,AmRest,32.497615000000003,67.372998999999993,14 389,меньше 30,89 940,high,Low Density Residential,60 000,14 389,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
33.246667,57.980199,NW,Новгородская область,Валдай,AmRest,33.246667000000002,57.980198999999999,14 119,меньше 30,29 978,ok,Low Density Residential,100 000,14 119,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
31.670285,59.12119,NW,Новгородская область,Чудово,AmRest,31.670285000000000,59.121189999999999,14 056,меньше 30,36 496,good,Low Density Residential,80 000,14 056,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,"1",
44.493349,55.032697,Volga,Нижегородская область,Лукоянов,AmRest,44.493349000000002,55.032696999999999,13 913,меньше 30,16 425,ok,Roadside,100 000,13 913,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
39.190235,44.878367,South,Адыгея республика,Адыгейск,AmRest,39.190235000000001,44.878366999999997,12 728,меньше 30,23 789,ok,"0",100 000,12 728,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
32.560111,60.140229,NW,Ленинградская область,Сясьстрой,AmRest,32.560110999999999,60.140228999999998,12 549,меньше 30,39 056,ok,Roadside,100 000,12 549,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
29.48481,59.447275,NW,Ленинградская область,Волосово,AmRest,29.484810000000000,59.447274999999998,11 909,меньше 30,38 848,ok,Roadside,100 000,11 909,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
30.636594,59.798145,NW,Ленинградская область,пгт. имени Свердлова,AmRest,30.636593999999999,59.798144999999998,11 009,меньше 30,"0",Нет рейтинга,High Density Residential,,11 009,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
35.911896,56.859611,Central,Тверская область,Тверь,City Restaurants,35.911895999999999,56.859611000000001,420 850,300 - млн,40 263,Ok,"0",100 000,70 142,105 213,"4","2","0","2","2","1","1","0","2","1","1","0",7 324,19%,"4","6",
48.395622,54.312416,Volga,Ульяновская область,Ульяновск,City Restaurants,48.395622000000003,54.312415999999999,627 870,300 - млн,34 810,ok,"0",100 000,89 696,156 968,"4","3","0","1","1","3","0","0","3","1","2","0",4 794,16%,"4","5",
36.588849,50.597467,Central,Белгородская область,Белгород,City Restaurants,36.588849000000003,50.597467000000002,392 426,300 - млн,36 979,good,"0",80 000,56 061,130 809,"3","1","1","1","3","0","0","0","4","1","3","0",7 458,22%,"4","4",
36.069613,52.967187,Central,Орловская область,Орёл,City Restaurants,36.069612999999997,52.967187000000003,311 625,300 - млн,29 583,ok,"0",100 000,77 906,103 875,"3","2","0","1","1","2","0","0","1","0","1","0",4 401,16%,"5","2",
37.835054,51.296695,Central,Белгородская область,Старый Оскол,City Restaurants,37.835054000000000,51.296695000000000,223 809,100 - 300,37 650,good,"0",80 000,74 603,223 809,"1","0","0","1","0","1","0","0","2","1","1","0",4 990,21%,"1","3",
36.504883,56.579048,Central,Тверская область,д. Мокшино,City Restaurants,36.504883000000000,56.579048000000000,2 000,меньше 30,"0",Нет рейтинга,"0",,2 000,2 000,"1","0","1","0","1","0","0","0","0","0","0","0",5 888,16%,"1",,
53.701413,63.556478,NW,Коми республика,Ухта,City Restaurants,53.701413000000002,63.556477999999998,95 960,60 - 100,62 676,good,"0",80 000,95 960,95 960,"1","1","0","0","1","0","0","0","0","0","0","0",6 201,16%,,"1",
37.534748,51.283644,Central,Белгородская область,Губкин,City Restaurants,37.534748000000000,51.283644000000002,86 422,60 - 100,36 141,ok,"0",100 000,86 422,86 422,"1","0","0","1","0","1","0","0","0","0","0","0",2 681,15%,,,
20.507307,54.70739,NW,Калининградская область,Калининград,City Restaurants,20.507307000000001,54.707389999999997,482 443,300 - млн,42 450,good,"0",80 000,68 920,482 443,"1","1","0","0","1","0","0","0","6","3","3","0",11 818,14%,"3",,
45.186319,54.180857,Volga,Мордовия республика,Саранск,City Restaurants,45.186318999999997,54.180857000000003,318 578,300 - млн,31 205,ok,"0",100 000,79 645,318 578,"1","0","1","0","1","0","0","0","3","1","2","0",7 317,14%,"2","5",
50.835716,61.668673,NW,Коми республика,Сыктывкар,City Restaurants,50.835715999999998,61.668672999999998,244 797,100 - 300,49 090,good,"0",80 000,81 599,244 797,"1","0","0","1","1","0","0","0","2","1","1","0",6 671,11%,"1","1",
49.600802,54.223938,Volga,Ульяновская область,Димитровград,City Restaurants,49.600802000000002,54.223937999999997,114 229,100 - 300,31 975,poor,"0",120 000,114 229,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,"1",
34.329065,56.262877,Central,Тверская область,Ржев,City Restaurants,34.329065000000000,56.262877000000003,58 596,30 - 60,30 641,ok,"0",100 000,58 596,,"0","0","0","0","0","0","0","0","1","0","1","0",,,,,
64.061091,67.49741,NW,Коми республика,Воркута,City Restaurants,64.061091000000005,67.497410000000002,54 223,30 - 60,69 572,good,High Density Residential,80 000,54 223,,"0","0","0","0","0","0","0","0","1","0","0","1",,,,,
34.560336,57.589051,Central,Тверская область,Вышний Волочёк,City Restaurants,34.560336000000000,57.589050999999998,46 211,30 - 60,27 474,poor,"0",120 000,46 211,,"0","0","0","0","0","0","0","0","1","1","0","0",,,"1",,
